Compañia,Linea de producto,Año,Ingresos soles
Otros,Larga distancia,2014,7940450
Otros,Otros,2014,5678799
Otros,Internet,2014,35610839
Otros,Interconexión,2014,832
Otros,Equipos,2014,1125366
Otros,Linea fija,2014,1617359
Otros,Otros,2014,11784279
Otros,Internet,2014,33470592
Otros,Internet,2014,46780
Otros,CableTV,2014,3559090
Otros,Público,2014,32121
Otros,Linea fija,2014,79635
Otros,Internet,2014,201528
Otros,Equipos,2014,247992
Otros,CableTV,2014,11058819
Otros,Equipos,2014,2164424
Otros,Móvil,2014,12696822
Movistar,Larga distancia,2014,111733000
Movistar,Otros,2014,250479000
Movistar,Público,2014,325787000
Movistar,Interconexión,2014,336349000
Movistar,Equipos,2014,624881000
Movistar,Data,2014,627362000
Movistar,CableTV,2014,722264000
Movistar,Linea fija,2014,755716000
Movistar,Internet,2014,1420347000
Movistar,Móvil,2014,4357909000
Otros,Equipos,2014,716
Otros,Internet,2014,3660
Otros,Linea fija,2014,41509
Otros,Público,2014,72189
Otros,Otros,2014,81765
Bitel,Data,2014,98126
Bitel,Interconexión,2014,3314126
Bitel,Móvil,2014,14699910
Bitel,Equipos,2014,18355717
Otros,CableTV,2014,1978200
Otros,Otros,2014,21911
Otros,Data,2014,394745
Otros,Equipos,2014,1594459
Otros,Internet,2014,5403676
Otros,Internet,2014,389026
Otros,Data,2014,560958
Otros,Público,2014,60876
Otros,Internet,2014,152889
Otros,Data,2014,426923
Otros,Linea fija,2014,788858
Otros,Internet,2014,21487
Otros,Linea fija,2014,124753
Otros,Equipos,2014,192027
Otros,Otros,2014,2399191
Otros,Data,2014,8108038
Otros,CableTV,2015,57430
Otros,Internet,2015,87104
Otros,CableTV,2015,789672
Claro,Público,2015,8907983
Claro,Larga distancia,2015,11519043
Claro,Otros,2015,79001615
Claro,Linea fija,2015,121446970
Claro,Data,2015,165718117
Claro,CableTV,2015,166515522
Claro,Internet,2015,285304118
Claro,Interconexión,2015,365099892
Claro,Equipos,2015,808856406
Claro,Móvil,2015,3444152820
Otros,Público,2015,3221
Otros,Equipos,2015,141737
Otros,Interconexión,2015,1508601
Otros,Otros,2015,7605386
Otros,Data,2015,11558092
Otros,Linea fija,2015,21440425
Otros,Larga distancia,2015,40070256
Otros,Internet,2015,59730282
Otros,Otros,2015,14695
Otros,Internet,2015,172878
Otros,CableTV,2015,30042
Otros,CableTV,2015,1113082
Otros,Equipos,2015,31724
Otros,Público,2015,279199
Otros,Linea fija,2015,550366
Otros,CableTV,2015,151477
Otros,Equipos,2015,403122
Otros,Data,2015,21073659
Otros,CableTV,2015,9319
Otros,Internet,2015,403774
Otros,Data,2015,10861749
Otros,CableTV,2015,692483
Otros,CableTV,2015,59261
Otros,CableTV,2015,1891482
Otros,CableTV,2015,1967589
Otros,CableTV,2015,436529
Otros,CableTV,2015,60288
Otros,CableTV,2015,175422
Otros,CableTV,2015,528912
Otros,CableTV,2015,956723
Otros,CableTV,2015,283180
Otros,CableTV,2015,1124034
Otros,CableTV,2015,395237
Otros,CableTV,2015,2189768
Otros,Móvil,2015,29985
Otros,Equipos,2015,40457
Otros,Internet,2015,49067
Otros,CableTV,2015,30983843
Otros,CableTV,2015,166445
Otros,CableTV,2015,88277
Otros,Linea fija,2015,17820213
Otros,Internet,2015,28900988
Otros,Larga distancia,2015,50769219
Otros,Data,2015,72645470
Otros,CableTV,2015,49990
Otros,Equipos,2015,305908
Otros,Data,2015,988034
Otros,Linea fija,2015,28550
Otros,Equipos,2015,52509
Otros,Data,2015,77969
Otros,Otros,2015,105764
Otros,Internet,2015,2208459
Otros,Larga distancia,2015,556
Otros,Linea fija,2015,2559
Otros,Otros,2015,9924
Otros,CableTV,2015,943797
Otros,Internet,2015,21372
Otros,CableTV,2015,934236
Otros,CableTV,2015,3101984
Otros,CableTV,2015,99495
Otros,Linea fija,2015,147
Otros,Internet,2015,16339
Otros,Data,2015,14072
Otros,Equipos,2015,30136
Otros,Otros,2015,202734
Otros,Interconexión,2015,457571
Otros,Linea fija,2015,1226169
Otros,Larga distancia,2015,1768291
Otros,Data,2015,9125869
Otros,CableTV,2015,125554
Otros,Internet,2015,106920
Otros,CableTV,2015,529527
DirectTV,Otros,2015,1580129
DirectTV,Equipos,2015,5686538
DirectTV,CableTV,2015,242012690
Otros,CableTV,2015,1530205
Otros,Equipos,2015,2292921
Otros,Móvil,2015,7315835
Otros,CableTV,2015,36562
Otros,CableTV,2015,1650570
Otros,CableTV,2015,4034455
Entel,Internet,2015,15406
Entel,Linea fija,2015,37321
Entel,Data,2015,54924
Entel,Otros,2015,1246495
Entel,Interconexión,2015,113893318
Entel,Equipos,2015,213171992
Entel,Móvil,2015,825536543
Otros,Equipos,2015,1505177
Otros,Data,2015,7379566
Otros,CableTV,2015,65020
Otros,CableTV,2015,83209
Otros,Interconexión,2015,109417
Otros,Equipos,2015,266265
Otros,Larga distancia,2015,1602028
Otros,Otros,2015,3537620
Otros,Linea fija,2015,3580778
Otros,Público,2015,9070758
Otros,Internet,2015,16109081
Otros,Equipos,2015,279438
Otros,Data,2015,582218
Otros,Otros,2015,1002949
Otros,Internet,2015,10458395
Otros,CableTV,2015,35593
Otros,CableTV,2015,84981
Otros,CableTV,2015,804747
Otros,Otros,2015,155032
Otros,CableTV,2015,3475324
Otros,Larga distancia,2015,4966593
Otros,Larga distancia,2015,13014715
Otros,Data,2015,11904
Otros,Equipos,2015,15416
Otros,Internet,2015,167925
Otros,Linea fija,2015,296405
Otros,Larga distancia,2015,1803176
Otros,Otros,2015,53923320
Otros,CableTV,2015,471733
Otros,CableTV,2015,70378
Otros,Interconexión,2015,346156
Otros,Linea fija,2015,556201
Otros,CableTV,2015,371795
Otros,CableTV,2015,136231
Otros,CableTV,2015,73325
Otros,CableTV,2015,47929
Otros,CableTV,2015,8945
Otros,CableTV,2015,963147
Otros,Equipos,2015,8066
Otros,Interconexión,2015,8067
Otros,Otros,2015,21318
Otros,Linea fija,2015,60367
Otros,Internet,2015,866710
Otros,CableTV,2015,1828096
